1434654420353 3 [0.44, 0.46, 0.58] [0.51, 0.53, 0.51] 24.0 0.0 8.0 20856.0 3.816853504E9 6948.0
1434654421372 3 [0.44, 0.46, 0.58] [0.51, 0.53, 0.51] 24.0 0.0 8.0 20856.0 3.816566784E9 6948.0
1434654422392 3 [0.44, 0.42, 0.58] [0.51, 0.52, 0.51] 24.0 0.0 8.0 20856.0 3.816599552E9 6948.0
1434654423412 3 [0.44, 0.42, 0.53] [0.51, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.816599552E9 6948.0
1434654424431 3 [0.44, 0.42, 0.53] [0.51, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.816599552E9 6948.0
1434654425451 3 [0.48, 0.42, 0.53] [0.52, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.816583168E9 6948.0
1434654426470 3 [0.48, 0.42, 0.53] [0.52, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.816583168E9 6948.0
1434654427490 3 [0.48, 0.47, 0.53] [0.52, 0.53, 0.5] 24.0 0.0 8.0 20856.0 3.816845312E9 6948.0
1434654428509 3 [0.48, 0.47, 0.57] [0.52, 0.53, 0.51] 24.0 0.0 8.0 20856.0 3.816718336E9 6948.0
1434654429528 3 [0.48, 0.47, 0.57] [0.52, 0.53, 0.51] 24.0 0.0 8.0 20856.0 3.816464384E9 6948.0
1434654430547 3 [0.44, 0.47, 0.57] [0.51, 0.53, 0.51] 24.0 0.0 8.0 20856.0 3.816464384E9 6948.0
1434654431567 3 [0.44, 0.47, 0.57] [0.51, 0.53, 0.51] 24.0 0.0 8.0 20856.0 3.816472576E9 6948.0
1434654432589 3 [0.44, 0.43, 0.57] [0.51, 0.52, 0.51] 24.0 0.0 8.0 20856.0 3.816456192E9 6948.0
1434654433609 3 [0.44, 0.43, 0.52] [0.51, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.816456192E9 6948.0
1434654434629 3 [0.44, 0.43, 0.52] [0.51, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.816464384E9 6948.0
1434654435648 3 [0.49, 0.43, 0.52] [0.52, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.816955904E9 6948.0
1434654436668 3 [0.49, 0.43, 0.52] [0.52, 0.52, 0.5] 24.0 0.0 8.0 20856.0 3.81683712E9 6948.0
1434654437687 3 [0.49, 0.4, 0.52] [0.52, 0.51, 0.5] 24.0 0.0 8.0 20856.0 3.816718336E9 6948.0
1434654438717 3 [0.49, 0.4, 0.56] [0.52, 0.51, 0.51] 24.0 0.0 8.0 20856.0 3.816718336E9 6948.0
1434654439735 3 [0.49, 0.4, 0.56] [0.52, 0.51, 0.51] 24.0 0.0 8.0 20856.0 3.816718336E9 6948.0
1434654440754 3 [0.45, 0.4, 0.56] [0.51, 0.51, 0.51] 24.0 0.0 8.0 20856.0 3.816726528E9 6948.0
1434654441776 3 [0.45, 0.4, 0.56] [0.51, 0.51, 0.51] 24.0 0.0 8.0 20856.0 3.816726528E9 6948.0
1434654442798 3 [0.45, 0.44, 0.56] [0.51, 0.52, 0.51] 24.0 0.0 8.0 20856.0 3.816599552E9 6948.0
1434654443818 3 [0.45, 0.44, 1.16] [0.51, 0.52, 0.64] 24.0 0.0 8.0 20856.0 3.816472576E9 6948.0
1434654444838 3 [0.45, 0.44, 1.16] [0.51, 0.52, 0.64] 24.0 0.0 8.0 20856.0 3.816456192E9 6948.0
1434654445858 3 [0.73, 0.44, 1.16] [0.57, 0.52, 0.64] 24.0 0.0 8.0 20856.0 3.816456192E9 6948.0
1434654446879 3 [0.73, 0.44, 1.16] [0.57, 0.52, 0.64] 24.0 0.0 8.0 20856.0 3.816464384E9 6948.0
1434654447901 3 [0.73, 0.41, 1.16] [0.57, 0.51, 0.64] 24.0 0.0 8.0 20856.0 3.816464384E9 6948.0
1434654448922 3 [0.73, 0.41, 1.06] [0.57, 0.51, 0.62] 24.0 0.0 8.0 20856.0 3.816464384E9 6948.0
1434654449942 3 [0.73, 0.41, 1.06] [0.57, 0.51, 0.62] 24.0 0.0 8.0 20856.0 3.816464384E9 6948.0
1434654450962 3 [0.68, 0.41, 1.06] [0.56, 0.51, 0.62] 24.0 0.0 8.0 20856.0 3.816599552E9 6948.0
1434654451981 3 [0.68, 0.41, 1.06] [0.56, 0.51, 0.62] 24.0 0.0 8.0 20856.0 3.816472576E9 6948.0
1434654453000 3 [0.68, 0.46, 0.98] [0.56, 0.52, 0.61] 24.0 0.0 8.0 20856.0 3.816472576E9 6948.0
1434654454020 3 [0.68, 0.46, 0.98] [0.56, 0.52, 0.61] 24.0 0.0 8.0 20856.0 3.816472576E9 6948.0
1434654455040 3 [0.68, 0.46, 0.98] [0.56, 0.52, 0.61] 24.0 0.0 8.0 20856.0 3.816329216E9 6948.0
1434654456059 3 [0.7, 0.46, 0.98] [0.56, 0.52, 0.61] 24.0 0.0 8.0 20856.0 3.816329216E9 6948.0
1434654457079 3 [0.7, 0.46, 0.98] [0.56, 0.52, 0.61] 24.0 0.0 8.0 20856.0 3.816337408E9 6948.0
1434654458098 3 [0.7, 0.42, 0.9] [0.56, 0.51, 0.6] 24.0 0.0 8.0 20856.0 3.816845312E9 6948.0
1434654459118 3 [0.7, 0.42, 0.9] [0.56, 0.51, 0.6] 24.0 0.0 8.0 20856.0 3.816845312E9 6948.0
1434654460137 3 [0.7, 0.42, 0.9] [0.56, 0.51, 0.6] 24.0 0.0 8.0 20856.0 3.816718336E9 6948.0
1434654461157 3 [0.65, 0.42, 0.9] [0.55, 0.51, 0.6] 24.0 0.0 8.0 20856.0 3.816726528E9 6948.0
1434654462177 3 [0.65, 0.42, 0.9] [0.55, 0.51, 0.6] 24.0 0.0 8.0 20856.0 3.816710144E9 6948.0
1434654463196 3 [0.65, 0.47, 0.91] [0.55, 0.52, 0.61] 24.0 0.0 8.0 20856.0 3.816710144E9 6948.0
1434654464216 3 [0.65, 0.47, 0.91] [0.55, 0.52, 0.61] 24.0 0.0 8.0 20856.0 3.816718336E9 6948.0
1434654465236 3 [0.65, 0.47, 0.91] [0.55, 0.52, 0.61] 24.0 0.0 8.0 20856.0 3.816710144E9 6948.0
1434654466255 3 [0.75, 0.47, 0.91] [0.58, 0.52, 0.61] 24.0 0.0 8.0 20856.0 3.817218048E9 6948.0
1434654467275 3 [0.75, 0.43, 0.91] [0.58, 0.51, 0.61] 24.0 0.0 8.0 20856.0 3.81722624E9 6948.0
1434654468294 3 [0.75, 0.43, 0.92] [0.58, 0.51, 0.62] 24.0 0.0 8.0 20856.0 3.816845312E9 6948.0
1434654469311 3 [0.75, 0.43, 0.92] [0.58, 0.51, 0.62] 24.0 0.0 8.0 20856.0 3.816845312E9 6948.0
1434654470330 3 [0.69, 0.43, 0.92] [0.57, 0.51, 0.62] 24.0 0.0 8.0 20856.0 3.816845312E9 6948.0
1434654471350 3 [0.69, 0.43, 0.92] [0.57, 0.51, 0.62] 24.0 0.0 8.0 20856.0 3.816853504E9 6948.0
1434654472369 3 [0.69, 0.47, 0.92] [0.57, 0.52, 0.62] 24.0 0.0 8.0 20856.0 3.816853504E9 6948.0
1434654473389 3 [0.69, 0.47, 0.84] [0.57, 0.52, 0.61] 24.0 0.0 8.0 20856.0 3.816853504E9 6948.0
1434654474407 3 [0.69, 0.47, 0.84] [0.57, 0.52, 0.61] 24.0 0.0 8.0 20856.0 3.816845312E9 6948.0
1434654475426 3 [0.72, 0.47, 0.84] [0.58, 0.52, 0.61] 24.0 0.0 8.0 20856.0 3.816423424E9 6948.0
